time,coord,wind,current
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.211173, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.238179, longitude=-88.731796)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.233678, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.19767, longitude=-88.737112)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
120.0,"CoordinatesBase(latitude=30.202171, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(-0.019283628290596183,-0.022981333293569335)"
150.0,"CoordinatesBase(latitude=30.202171, longitude=-88.758376)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.215674, longitude=-88.731796)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.758376)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.76369199999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.769008)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.77432400000001)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.77964)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.215674, longitude=-88.737112)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.202171, longitude=-88.75306)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.75306)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.202171, longitude=-88.74242799999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.737112)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.74242799999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.77964)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.77432400000001)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.769008)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.76369199999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.758376)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.75306)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.747744)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.74242799999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.202171, longitude=-88.747744)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.731796)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.229177, longitude=-88.769008)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.747744)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.229177, longitude=-88.76369199999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.229177, longitude=-88.758376)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.229177, longitude=-88.75306)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.215674, longitude=-88.74242799999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.737112)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.731796)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.202171, longitude=-88.731796)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.202171, longitude=-88.737112)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77432400000001)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.215674, longitude=-88.747744)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77964)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.215674, longitude=-88.758376)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.19767, longitude=-88.75306)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.19767, longitude=-88.758376)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.19767, longitude=-88.76369199999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.19767, longitude=-88.769008)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.19767, longitude=-88.77432400000001)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.19767, longitude=-88.77964)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.731796)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.238179, longitude=-88.737112)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.211173, longitude=-88.731796)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.211173, longitude=-88.737112)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
150.0,"CoordinatesBase(latitude=30.211173, longitude=-88.74242799999999)","SpeedMeasure(1.2608835935349794,-2.8319909186920635)","SpeedMeasure(0.007660444431189781,0.006427876096865392)"
